City,Users
Anaheim,282700
Antioch-Pittsburg,39995
Auburn,15732
Bakersfield,491824
Barstow,3153
Berkeley,150636
Burbank Airport,68918
Camarillo,52310
Carlsbad Poinsettia,10556
Carlsbad Village,14843
Carpinteria,30762
Chatsworth,71133
Chico,13144
Colfax,6277
Corcoran,30104
Davis,379073
Dunsmuir,5958
Emeryville,581573
Encinitas,12975
Fremont,40617
Fresno,369582
Fullerton,388068
Glendale,52395
Goleta,76286
Grover Beach,18987
Guadalupe/Santa Maria,12227
Hanford,201098
Hayward,47351
Irvine,450732
Lodi,8617
Lompoc-Surf Station,7921
Los Angeles,1635039
Madera,27136
Martinez,364372
Merced,121137
Modesto,117422
Moorpark,21726
Needles,8017
Oakland,414632
Oceanside,416021
Ontario,4864
Oxnard,92805
Palm Springs,3042
Paso Robles,12037
Pomona,1716
Redding,11208
Richmond,269838
Riverside,12287
Rocklin,16403
Roseville,39409
Sacramento,1051001
Salinas,21498
San Bernadino,11579
San Clemente Pier,15396
San Diego,1044833
San Jose,223055
San Juan Capistrano,229408
San Luis Obispo,107778
Santa Ana,191716
Santa Barbara,338069
Santa Clara-Great America,194446
Simi Valley,51049
Solana Beach,396157
Sorrento Valley,20720
Stockton,321129
Suisun-Fairfield,167994
Truckee,14675
Turlock-Denair,29197
Van Nuys,80405
Ventura,65328
Victorville,6664
Wasco,41424
